Platinum (PO|PL) POU6 (15.62 DTE) vs 1652.9 (+26.6) - Intraday Volume
Put: 0 Call: 0 Vol: 37.45 Vol Chg: -0.52 Future Chg: 26.6
Strike,Call,Put,Vol Settle
1325,0,0,0
1350,0,0,0
1375,0,0,0
1400,0,0,0.3866823889830435
1410,0,0,0.387116514316304
1420,0,0,0.38723577166279455
1425,0,0,0.38718988243017094
1430,0,0,0.3870801611536727
1440,0,0,0.38668820968594986
1450,0,0,0.3860969709224058
1460,0,0,0.38534202529154626
1465,0,0,0.3849138784472039
1470,0,0,0.3844574799874927
1475,0,0,0.38397686311875745
1480,0,0,0.38347596897029135
1485,0,0,0.38295864659427536
1490,0,0,0.38242865296563266
1495,0,0,0.3818896529823448
1500,0,0,0.3813452194650573
1505,0,0,0.38079883315735685
1510,0,0,0.38025388272569316
1515,0,0,0.37971366475937174
1520,0,0,0.379181383770522
1525,0,0,0.37866015219417903
1530,0,0,0.37815299038824435
1535,0,0,0.3776628266334683
1540,0,0,0.37719249713336467
1545,0,0,0.376744746014424
1550,0,0,0.37632222532598547
1555,0,0,0.37592749504024425
1560,0,0,0.3755630230521376
1565,0,0,0.3752311851796293
1570,0,0,0.3749342651634464
1575,0,0,0.3746744546672218
1580,0,0,0.37445385327738734
1585,0,0,0.37427446850324486
1590,0,0,0.3741382157771227
1595,0,0,0.37404691845388527
1600,0,0,0.3740023078115442
1610,0,0,0.3740596112954009
1620,0,0,0.3743221349090504
1625,0,0,0.3745337041397008
1630,0,0,0.3748004140986225
1640,0,0,0.37550351107611846
1650,0,0,0.37643901481923336
1660,0,0,0.37761304107117155
1670,0,0,0.37903023234125044
1675,0,0,0.3798310628047261
1680,0,0,0.3806937579042966
1690,0,0,0.38260531380097973
1700,0,0,0.38476512283771314
1710,0,0,0.38717193458646904
1720,0,0,0.3898230253853612
1725,0,0,0.3912389214466572
1730,0,0,0.3927141983378064
1740,0,0,0.3958397833133347
1750,0,0,0.3991926369469567
1770,0,0,0.4065442105577972
1775,0,0,0.40850889944098867
1780,0,0,0.41052127763391155
1790,0,0,0.41468230756610325
1800,0,0,0.419012790818158
1810,0,0,0.4234967446197828
1820,0,0,0.42811671296611564
1825,0,0,0.43047184475464917
1830,0,0,0.43285376661837915
1840,0,0,0.4376875031034331
1850,0,0,0.44259604671371733
1860,0,0,0.4475560485076926
1870,0,0,0.45254268630928607
1875,0,0,0.4550378339455392
1900,0,0,0.46739209548722727
1925,0,0,0.4791961721629434
1950,0,0,0.48992985658361476
1975,0,0,0.4990153931472463
2000,0,0,0.505817478038793
2025,0,0,0.5096432592300744
2050,0,0,0
2075,0,0,0
